code,name,market_cap,is_tech,latest_close,latest_ma20,days_above_ma20,max_distance_above_ma20_pct,min_distance_above_ma20_pct,avg_distance_above_ma20_pct,latest_distance_above_ma20_pct,ma20_strength_score,last_breach_date,latest_date
000538,云南白药,867.14,True,48.91,49.56,4,1.68,-5.33,-2.14,-1.32,0.0666,从未跌破（观测期内）,2026-06-17
002990,盛视科技,74.31,True,53.84,50.51,7,10.64,-21.7,-8.52,6.59,0.063,从未跌破（观测期内）,2026-06-17
002970,锐明技术,86.35,True,68.32,65.78,5,3.87,-12.1,-4.74,3.87,0.0576,从未跌破（观测期内）,2026-06-17
603602,纵横通信,29.78,True,12.89,13.31,7,4.91,-5.8,-1.35,-3.12,0.0562,从未跌破（观测期内）,2026-06-17
002326,永太科技,180.95,True,22.39,22.1,5,3.51,-10.34,-3.43,1.3,0.0556,从未跌破（观测期内）,2026-06-17
603893,瑞芯微,740.6,True,175.95,177.91,8,8.96,-11.56,-1.79,-1.1,0.0551,从未跌破（观测期内）,2026-06-17
002992,宝明科技,73.04,True,46.75,43.87,3,10.7,-13.26,-6.33,6.56,0.0535,从未跌破（观测期内）,2026-06-17
600143,金发科技,437.38,True,16.6,16.94,8,6.34,-9.87,-1.94,-2.02,0.0502,从未跌破（观测期内）,2026-06-17
600166,福田汽车,254.94,True,3.22,3.06,4,5.35,-12.37,-6.16,5.35,0.0434,从未跌破（观测期内）,2026-06-17
603042,华脉科技,32.78,True,20.41,19.84,5,5.35,-10.45,-4.32,2.86,0.043,从未跌破（观测期内）,2026-06-17
002605,姚记科技,62.2,True,18.39,18.53,3,1.67,-6.94,-2.66,-0.73,0.0393,从未跌破（观测期内）,2026-06-17
001211,双枪科技,30.33,True,32.49,33.95,9,39.18,-15.21,0.14,-4.31,0.0391,从未跌破（观测期内）,2026-06-17
000550,江铃汽车,90.37,True,17.43,17.12,4,6.28,-9.72,-3.92,1.81,0.0351,从未跌破（观测期内）,2026-06-17
002951,金时科技,64.86,True,16.17,18.15,12,38.95,-13.6,4.66,-10.93,0.0343,从未跌破（观测期内）,2026-06-17
603052,可川科技,172.56,True,91.84,91.67,6,11.92,-11.71,-2.7,0.19,0.0327,从未跌破（观测期内）,2026-06-17
000878,云南铜业,359.25,True,17.93,17.58,5,3.81,-12.19,-4.58,1.99,0.0271,从未跌破（观测期内）,2026-06-17
000682,东方电子,172.94,True,12.9,13.26,9,9.0,-12.25,-1.98,-2.68,0.0268,从未跌破（观测期内）,2026-06-17
603130,云中马,60.91,True,44.29,44.54,5,0.92,-11.44,-3.27,-0.55,0.0198,从未跌破（观测期内）,2026-06-17
002059,云南旅游,43.06,True,4.38,4.52,6,5.76,-6.92,-2.15,-3.0,0.0156,从未跌破（观测期内）,2026-06-17
002475,立讯精密,4898.17,True,67.32,70.0,9,4.31,-9.73,-2.25,-3.83,0.0112,从未跌破（观测期内）,2026-06-17
603685,晨丰科技,64.07,True,31.8,32.63,5,8.03,-8.74,-1.34,-2.56,0.0093,从未跌破（观测期内）,2026-06-17
600792,云煤能源,43.62,True,3.93,4.12,9,10.76,-8.92,-0.75,-4.63,0.0086,从未跌破（观测期内）,2026-06-17
603339,四方科技,39.64,True,12.81,13.01,1,1.67,-6.96,-2.64,-1.57,0.0013,从未跌破（观测期内）,2026-06-17
002197,证通电子,33.16,True,6.21,6.61,1,1.48,-16.02,-10.0,-6.11,0.0,从未跌破（观测期内）,2026-06-17
603089,正裕工业,22.28,True,9.28,10.23,0,-1.87,-10.17,-6.68,-9.28,0.0,从未跌破（观测期内）,2026-06-17
603258,电魂网络,30.24,True,12.53,13.84,0,-4.89,-13.68,-8.79,-9.45,0.0,从未跌破（观测期内）,2026-06-17
000049,德赛电池,93.75,True,24.38,24.85,0,-1.88,-11.83,-6.36,-1.88,0.0,从未跌破（观测期内）,2026-06-17
603657,春光科技,33.12,True,24.5,26.48,5,11.01,-18.24,-8.06,-7.46,0.0,从未跌破（观测期内）,2026-06-17
603248,锡华科技,16.34,True,23.58,25.85,5,14.91,-15.83,-6.08,-8.79,0.0,从未跌破（观测期内）,2026-06-17
600844,金煤科技,21.88,True,2.66,2.96,0,-3.57,-11.97,-8.65,-10.24,0.0,从未跌破（观测期内）,2026-06-17
002625,光启技术,816.8,True,37.91,38.41,4,4.44,-11.34,-3.09,-1.3,0.0,从未跌破（观测期内）,2026-06-17
605298,必得科技,100.28,True,53.84,54.74,4,8.01,-7.69,-2.69,-1.64,0.0,从未跌破（观测期内）,2026-06-17
603897,长城科技,76.79,True,37.2,44.07,4,6.5,-23.89,-10.57,-15.58,0.0,从未跌破（观测期内）,2026-06-17
603528,多伦科技,46.94,True,6.65,7.09,1,1.72,-13.46,-6.74,-6.16,0.0,从未跌破（观测期内）,2026-06-17
002594,比亚迪,3049.74,True,87.47,93.07,0,-0.03,-6.46,-3.48,-6.02,0.0,从未跌破（观测期内）,2026-06-17
603881,数据港,228.16,True,31.76,35.17,2,7.78,-15.99,-7.01,-9.71,0.0,从未跌破（观测期内）,2026-06-17
002564,天沃科技,41.66,True,4.85,5.12,0,-3.05,-13.72,-9.29,-5.32,0.0,从未跌破（观测期内）,2026-06-17
000807,云铝股份,866.98,True,25.0,28.1,2,0.87,-11.02,-5.78,-11.02,0.0,从未跌破（观测期内）,2026-06-17
605228,神通科技,62.5,True,13.1,13.15,4,1.52,-10.37,-4.81,-0.42,0.0,从未跌破（观测期内）,2026-06-17
603703,盛洋科技,50.71,True,12.22,12.67,4,3.93,-14.05,-6.0,-3.53,0.0,从未跌破（观测期内）,2026-06-17
605178,时空科技,62.62,True,63.2,64.41,0,-0.78,-13.83,-4.71,-1.87,0.0,从未跌破（观测期内）,2026-06-17
603217,元利科技,49.77,True,23.92,25.82,1,1.98,-16.99,-8.52,-7.37,0.0,从未跌破（观测期内）,2026-06-17
603933,睿能科技,49.08,True,23.65,23.83,6,5.04,-11.08,-3.62,-0.77,0.0,从未跌破（观测期内）,2026-06-17
600741,华域汽车,512.0,True,16.24,16.79,1,0.82,-8.75,-4.3,-3.29,0.0,从未跌破（观测期内）,2026-06-17
000409,云鼎科技,52.61,True,8.91,9.52,3,4.5,-9.18,-3.65,-6.45,0.0,从未跌破（观测期内）,2026-06-17
603529,爱玛科技,173.07,True,20.42,20.97,5,3.4,-11.35,-3.32,-2.64,0.0,从未跌破（观测期内）,2026-06-17
002920,德赛西威,526.22,True,88.2,98.25,6,6.28,-15.36,-5.0,-10.23,0.0,从未跌破（观测期内）,2026-06-17
600725,云维股份,43.26,True,3.51,3.88,2,0.38,-9.64,-3.24,-9.64,0.0,从未跌破（观测期内）,2026-06-17
002879,长缆科技,19.84,True,14.47,15.5,0,-4.57,-11.96,-9.22,-6.67,0.0,从未跌破（观测期内）,2026-06-17
002052,同洲电子,61.56,True,8.93,9.65,2,5.51,-14.01,-7.31,-7.5,0.0,从未跌破（观测期内）,2026-06-17
002869,金溢科技,29.44,True,18.69,18.63,3,2.33,-10.3,-4.39,0.31,0.0,从未跌破（观测期内）,2026-06-17
600691,潞化科技,58.68,True,2.47,2.68,0,-3.05,-11.74,-7.14,-7.97,0.0,从未跌破（观测期内）,2026-06-17
